Tree,Type,Girth,Age,Disease,Height,Value
88,Beech,2.5,55,0,5,75
89,Oak,3.6,100,0,7,145
90,Beech,2.9,80,0,7,90
91,Elm,2.8,81,0,7,85
92,Oak,3.4,102,0,7,150
93,Oak,3.6,102,0,7,150
94,Birch,0.6,21,0,3,0
95,Birch,0.6,20,0,3,0
96,Birch,0.5,18,0,3,0
97,Birch,0.6,20,0,3,0
98,Birch,0.6,21,1,3,0
99,Birch,0.6,21,1,3,0
100,Elm,2.9,80,1,7,20
101,Elm,2.8,83,1,7,0
102,Elm,2.7,80,1,7,15
103,Beech,2.6,55,0,7,75
104,Beech,2.5,55,0,7,70
105,Beech,2.4,55,0,7,60
106,Beech,2.4,55,0,7,60
107,Oak,4.2,102,0,8,30
108,Elm,4.3,98,0,8,110
109,Elm,3.1,84,1,8,15
110,Beech,2.5,55,0,7,75
111,Beech,2.4,55,1,7,10
112,Beech,2.5,55,0,7,70
113,Beech,2.5,55,0,7,75
114,Beech,2.4,55,0,7,70
115,Oak,3.9,95,0,8,130
116,Birch,0.6,20,0,3,0
117,Birch,0.6,19,0,3,0
118,Birch,0.7,22,0,3,0
119,Yew,4.1,110,0,8,200
120,Elm,3.3,85,0,8,120
121,Beech,2.6,55,0,7,75
122,Beech,2.5,55,0,7,70
123,Beech,2.5,55,0,7,70
124,Beech,2.5,55,0,7,70
125,Beech,2.6,55,0,7,75
126,Oak,3.7,90,0,8,125
127,Birch,0.6,20,0,3,0
128,Birch,0.7,21,0,3,0
129,Birch,0.6,20,0,3,0
130,Birch,0.6,20,0,3,0
131,Elm,3.5,90,0,8,130
132,Beech,2.5,55,0,7,75
133,Beech,2.4,55,0,7,70
134,Beech,2.5,55,0,7,75
135,Beech,2.3,55,0,6,60
136,Beech,2.5,55,0,7,75
137,Beech,2.5,55,0,7,75
138,Birch,0.6,20,0,3,0
139,Beech,2.2,48,0,6,60
140,Elm,3.7,87,1,7,10
141,Beech,2.5,55,1,7,20
142,Beech,2.6,55,0,7,80
143,Beech,2.5,55,0,7,75
144,Beech,2.5,55,0,7,75
145,Beech,2.3,47,0,6,60
146,Birch,0.7,20,0,3,0
147,Birch,0.7,22,1,3,0
148,Oak,3.8,85,0,7,140
149,Oak,3.6,85,0,7,130
150,Oak,4.1,85,0,8,150
151,Beech,2.5,55,0,7,75
152,Beech,2.5,55,0,7,75
153,Beech,2.4,55,0,7,70
154,Beech,2.5,55,0,7,75
155,Beech,2.5,55,0,7,15
156,Beech,2.5,50,1,7,15
157,Elm,3.9,85,0,8,70
158,Birch,0.6,20,0,3,0
159,Oak,4.3,85,0,7,160
160,Oak,3.9,85,0,7,150
161,Oak,3.8,85,0,7,150
162,Oak,3.8,85,0,7,150
163,Beech,2.4,55,0,7,70
164,Beech,2.5,55,0,7,75
165,Beech,2.4,55,0,7,70
166,Beech,2.5,55,0,7,75
167,Beech,2.5,55,0,7,75
168,Birch,0.6,19,0,3,0
169,Birch,0.6,20,0,3,0
170,Birch,0.6,19,0,3,0
171,Birch,0.6,20,1,3,0
172,Birch,0.5,17,1,3,0
173,Birch,0.7,18,0,3,0
174,Elm,3.2,76,0,7,10
175,Beech,2.5,55,0,7,75
176,Beech,2.7,55,0,7,80
177,Birch,0.7,21,0,3,0
178,Birch,0.6,19,0,3,0
179,Beech,1.4,22,0,4,15
180,Beech,0.6,19,0,3,0
181,Birch,0.6,18,0,3,0
182,Birch,0.6,19,0,3,0
183,Birch,0.6,19,0,3,0
184,Elm,3.5,83,0,7,85
185,Elm,2.9,72,0,7,75
186,Beech,2.5,55,0,7,75
187,Birch,0.6,20,0,3,0
188,Birch,0.5,15,0,2,0
189,Beech,1.7,31,0,5,30
190,Beech,1.6,28,0,4,20
191,Birch,0.6,17,0,3,0
192,Elm,2.7,54,0,5,30
193,Elm,2.9,51,0,5,30
194,Elm,2.9,48,0,5,30
195,Birch,0.6,15,1,3,0
196,Yew,4.2,124,0,8,200
197,Beech,1.9,38,0,6,35
198,Birch,0.6,19,0,3,0
199,Birch,0.6,18,0,3,0
200,Birch,0.6,21,0,3,0
